sigma_spatial,sigma_range,MSE,PSNR,SSIM,Perceptual,Method
0.5,0.05,0.00951836247510638,20.214377605646764,0.3314617547734814,0.648834228515625,Grayscale
0.5,0.1,0.008436159438197446,20.738552209577975,0.3528854493810017,0.6218190789222717,Grayscale
0.5,0.15,0.007252322721677866,21.395228784422997,0.377191931636344,0.5898061990737915,Grayscale
0.5,0.2,0.00637953392895654,21.952110484694337,0.3965831992195857,0.5651952028274536,Grayscale
0.5,0.25,0.005807921930951858,22.359792299775023,0.4102988115831351,0.5492956638336182,Grayscale
0.5,0.3,0.0054401463984550934,22.64389412951507,0.4197083857528606,0.5396652221679688,Grayscale
0.5,0.35,0.005199298277766502,22.84055266876441,0.4262001594058047,0.5339264273643494,Grayscale
0.5,0.4,0.00503668969668639,22.978548045856108,0.4307679150784106,0.5304080247879028,Grayscale
0.5,0.45,0.00492332020803767,23.07741917210911,0.4340595577598635,0.528144896030426,Grayscale
1.0,0.05,0.008594671109004005,20.657707377410482,0.3488448869660763,0.6216905117034912,Grayscale
1.0,0.1,0.0057209709865381105,22.42530254719623,0.42383590032190543,0.521862804889679,Grayscale
1.0,0.15,0.003827402693018121,24.170958418896568,0.5058181283792456,0.43788865208625793,Grayscale
1.0,0.2,0.0030297853126742855,25.18588144046926,0.5635342961957527,0.3998832106590271,Grayscale
1.0,0.25,0.002780850374151464,25.558223780644752,0.5958995947252794,0.39342743158340454,Grayscale
1.0,0.3,0.0027554730469212555,25.598038327352693,0.6118871469433247,0.4005132019519806,Grayscale
1.0,0.35,0.0028097602568431922,25.513307347468555,0.6190377408577946,0.4127046763896942,Grayscale
1.0,0.4,0.0028854869563613335,25.397808845482142,0.6217849052563387,0.42583879828453064,Grayscale
1.0,0.45,0.0029607234564973193,25.286021555711933,0.622430304173315,0.4381430745124817,Grayscale
1.5,0.05,0.00808736513153424,20.921929487490672,0.35637044778774657,0.6084957718849182,Grayscale
1.5,0.1,0.004858888922905199,23.13463029054041,0.448801754277649,0.4911820888519287,Grayscale
1.5,0.15,0.003150934148647456,25.015606730487477,0.5492214202023267,0.4038737416267395,Grayscale
1.5,0.2,0.0026301988636791515,25.800114141971346,0.6174635137124216,0.373879998922348,Grayscale
1.5,0.25,0.002606996433995289,25.83859562885076,0.6521014064709683,0.37600868940353394,Grayscale
1.5,0.3,0.002747809742155073,25.61013341042144,0.6659378913884515,0.38646942377090454,Grayscale
1.5,0.35,0.002922449234512613,25.34253024173832,0.6694619266560127,0.4015771150588989,Grayscale
1.5,0.4,0.0030860216134161664,25.106010366155452,0.6685035361215856,0.42016544938087463,Grayscale
1.5,0.45,0.0032264009455290833,24.912816637260754,0.6658597578562576,0.43827760219573975,Grayscale
2.0,0.05,0.007825323422953695,21.064977038899578,0.35929602723441956,0.6042526960372925,Grayscale
2.0,0.1,0.004534147860714584,23.435043214293117,0.4564523894838886,0.48607879877090454,Grayscale
2.0,0.15,0.0029587664806187573,25.288893099933716,0.5625749634824517,0.3992108404636383,Grayscale
2.0,0.2,0.0025601571771731403,25.91733370983645,0.6347164275193377,0.37162894010543823,Grayscale
2.0,0.25,0.002626628743851633,25.80601307454041,0.670388641724678,0.3772791624069214,Grayscale
2.0,0.3,0.002832936876937947,25.477631022543406,0.6834211412825517,0.38876771926879883,Grayscale
2.0,0.35,0.0030560703651747517,25.14836650470922,0.6854159944446929,0.39979392290115356,Grayscale
2.0,0.4,0.0032560981119298255,24.873025175335194,0.682811752601546,0.4150674045085907,Grayscale
2.0,0.45,0.003424322259665617,24.65425371036716,0.6786520318899777,0.4335145354270935,Grayscale
2.5,0.05,0.007689733301482966,21.140887223185707,0.36021009274903204,0.6034064292907715,Grayscale
2.5,0.1,0.00441345044833151,23.552217450564775,0.45746220965247264,0.4887208342552185,Grayscale
2.5,0.15,0.002923309089056541,25.3412526313217,0.5642642895775021,0.4055262506008148,Grayscale
2.5,0.2,0.002592629290381369,25.862595768100462,0.637342112656546,0.37949514389038086,Grayscale
2.5,0.25,0.002711992471316706,25.667115204355603,0.6732289236310816,0.38877540826797485,Grayscale
2.5,0.3,0.00296093737163322,25.285707785079495,0.6857458803841169,0.4054097533226013,Grayscale
2.5,0.35,0.0032183498679417086,24.92366745365285,0.6868640273111188,0.4164242148399353,Grayscale
2.5,0.4,0.0034457928762208767,24.62710831187985,0.6832957465333082,0.43100252747535706,Grayscale
2.5,0.45,0.003635924122453624,24.39385188580856,0.6782204541111556,0.4507066011428833,Grayscale
3.0,0.05,0.007621281551397565,21.179719940274953,0.3602574506307033,0.6038277745246887,Grayscale
3.0,0.1,0.004382157481679414,23.58312019245549,0.45595864123915764,0.49375683069229126,Grayscale
3.0,0.15,0.0029509816630404885,25.30033489132732,0.5614747608320974,0.4155252277851105,Grayscale
3.0,0.2,0.002667266515521306,25.73933587070783,0.6341749075050759,0.3938257098197937,Grayscale
3.0,0.25,0.0028277989109826997,25.485514771083988,0.6698739951414043,0.4077356159687042,Grayscale
